,model,method,dim,neighbours,n_layers,norm,min_dist,dre1,drf1,lr,edr,fmr,tau,lambd,pred_hid,proj_hid_dim,sp,acc,local,density,alpha,beta,gnn_type
0,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041614639895780604,0.45779514454213255,0.060887188,0.03970836475749853,0.5,1.0,symmetric
1,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637364695261729,0.21070045949564023,0.027364643,-0.03571520346224907,0.5,1.0,symmetric
2,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.00362981926480779,0.21461521762726582,0.02622734,0.051455304620763254,0.5,1.0,symmetric
3,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.010448303355363908,0.6213014219038315,0.25910893,0.15306878757508977,0.5,1.0,symmetric
4,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.03614433735416654,0.17792250081406707,0.081185095,0.02866277305976607,0.5,1.0,symmetric
5,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.02737421555898411,0.21010709504685404,0.028112186,0.7807983949260915,0.5,1.0,symmetric
6,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.04175694144218491,0.45839212706682586,0.05972669,0.039418139986115104,0.5,1.0,symmetric
7,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.00463720908443633,0.21070045949564023,0.027464831,-0.03747871804932959,0.5,1.0,symmetric
8,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0035645384914931833,0.21461521762726582,0.027128754,0.051455304620763254,0.5,1.0,symmetric
9,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.01097502798512988,0.6203950938890699,0.25725204,0.1531244118219191,0.5,1.0,symmetric
10,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.014319129199829405,0.16589239842251893,0.07447943,-0.04310552236881205,0.5,1.0,symmetric
11,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.017837363160406426,0.2080031839067984,0.027520813,0.7790299398646393,0.5,1.0,symmetric
12,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041379736454730615,0.4577933355041789,0.06070433,0.03911737625738341,0.5,1.0,symmetric
13,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637349853580234,0.21070045949564023,0.027464831,-0.04211180907051314,0.5,1.0,symmetric
14,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.003635496362356646,0.21461521762726582,0.022859743,0.051455304620763254,0.5,1.0,symmetric
15,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.012864247786370563,0.6077752451246428,0.2546574,0.1570671001025221,0.5,1.0,symmetric
16,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.017242432169484498,0.17251709540866167,0.08049614,0.0053655467142350935,0.5,1.0,symmetric
17,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.017703147608109204,0.21431491732696553,0.029211,0.780016160703251,0.5,1.0,symmetric
18,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041241894259898236,0.4592939324867036,0.06187225,0.04050090918483264,0.5,1.0,symmetric
19,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637263913980734,0.21070045949564023,0.027364643,-0.03980800060754079,0.5,1.0,symmetric
20,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.003614712525343392,0.21461521762726582,0.022662804,0.051455304620763254,0.5,1.0,symmetric
21,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.010990156208327611,0.6107755345707153,0.25604415,0.1530597730722133,0.5,1.0,symmetric
22,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0005614778927658928,0.16588606678968124,0.07774146,0.019112176947282743,0.5,1.0,symmetric
23,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.017249732928182455,0.2173197293679221,0.026044663,0.7762230260274305,0.5,1.0,symmetric
24,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041566085390661894,0.4574921306849018,0.060982615,0.03930685832632771,0.5,1.0,symmetric
25,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637480677899895,0.21070045949564023,0.027364643,-0.042129994853850314,0.5,1.0,symmetric
26,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0036046531714004552,0.21461521762726582,0.024171496,0.051455304620763254,0.5,1.0,symmetric
27,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0061462266078582935,0.6152755164803357,0.2593959,0.15721775748333938,0.5,1.0,symmetric
28,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.01047139228497272,0.18423604327218784,0.07472698,-0.014528294933877698,0.5,1.0,symmetric
29,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.017768480397920103,0.21069503238177933,0.026632471,0.7785317738006975,0.5,1.0,symmetric
30,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.04160026294268637,0.4580918267665255,0.060617868,0.039362851389187034,0.5,1.0,symmetric
31,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.00463742127546269,0.21070045949564023,0.027364643,-0.03482450859464838,0.5,1.0,symmetric
32,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.003593497768656861,0.21461521762726582,0.026096717,0.051455304620763254,0.5,1.0,symmetric
33,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.008610585408847727,0.6441432396251674,0.2503107,0.160831872189027,0.5,1.0,symmetric
34,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0071237851507259045,0.15778790839031803,0.08390168,0.013526877228085425,0.5,1.0,symmetric
35,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.017721356582570007,0.20951101704113753,0.030190175,0.7776516156073552,0.5,1.0,symmetric
36,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.04142827768317548,0.4583939361047795,0.060324144,0.03980146347126039,0.5,1.0,symmetric
37,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637252199873192,0.21070045949564023,0.027364643,-0.03707588323267608,0.5,1.0,symmetric
38,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0035797427042607455,0.21461521762726582,0.025453042,0.051455304620763254,0.5,1.0,symmetric
39,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.011221458536205996,0.6429420384239661,0.25423694,0.15485575440411753,0.5,1.0,symmetric
40,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.02714103925478666,0.17792340533304385,0.086767115,0.03150032694300568,0.5,1.0,symmetric
41,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.02221095895091186,0.21251402004414052,0.02417289,0.775610363725739,0.5,1.0,symmetric
42,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.04153807038829029,0.459296646043634,0.06087126,0.039319478351789436,0.5,1.0,symmetric
43,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004642609563979845,0.21070045949564023,0.027364643,-0.04407350454950085,0.5,1.0,symmetric
44,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0036177690049694496,0.21461521762726582,0.026354965,0.051455304620763254,0.5,1.0,symmetric
45,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0170695485406398,0.6399254676363111,0.25138128,0.15721866913888044,0.5,1.0,symmetric
46,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.001622099319768638,0.1643800426932957,0.0807019,-0.016005044277035235,0.5,1.0,symmetric
47,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.019429169574235586,0.2137152212453417,0.026991481,0.779156655372458,0.5,1.0,symmetric
48,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041451342119652686,0.45779424002315566,0.060715195,0.039488324886117546,0.5,1.0,symmetric
49,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637297710586568,0.21070045949564023,0.02730453,-0.03701498785174064,0.5,1.0,symmetric
50,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0036268840490674215,0.21461521762726582,0.02510806,0.051455304620763254,0.5,1.0,symmetric
51,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.012781171531684737,0.6125809544484244,0.25416142,0.15392099733825865,0.5,1.0,symmetric
52,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.012439956060276832,0.1673993270378812,0.08139973,0.038866386538294884,0.5,1.0,symmetric
53,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.02634905233160783,0.20800408842577517,0.023157472,0.7802201201512395,0.5,1.0,symmetric
54,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.04156265134180409,0.45719092586562465,0.060745936,0.03867100544902054,0.5,1.0,symmetric
55,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.00463717661140057,0.21070045949564023,0.027464831,-0.03854147963154991,0.5,1.0,symmetric
56,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.003613889593467859,0.21461521762726582,0.02449425,0.051455304620763254,0.5,1.0,symmetric
57,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.011725777596232423,0.6381227613155325,0.24503876,0.16184253184007133,0.5,1.0,symmetric
58,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.011157982314990246,0.1514906472737798,0.078993626,0.01840442877109854,0.5,1.0,symmetric
59,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.021291187904995606,0.21641521039111403,0.02708838,0.7781182912881136,0.5,1.0,symmetric
60,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041435829198683126,0.45779243098520206,0.06040216,0.03953924218577409,0.5,1.0,symmetric
61,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637188754987431,0.21070045949564023,0.027364643,-0.03536631622588304,0.5,1.0,symmetric
62,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0036307542906236895,0.21461521762726582,0.027028274,0.051455304620763254,0.5,1.0,symmetric
63,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.00747493023858716,0.6351197583125294,0.26287442,0.1544449120324512,0.5,1.0,symmetric
64,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.03732609983597769,0.17280473244328667,0.077991106,-0.019761674231210835,0.5,1.0,symmetric
65,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.022168118901701426,0.20890318028872246,0.027727632,0.7806235859376576,0.5,1.0,symmetric
66,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041537707251708904,0.4580963493614096,0.060360394,0.03978607635207863,0.5,1.0,symmetric
67,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637277555682952,0.21070045949564023,0.027364643,-0.03487528070072865,0.5,1.0,symmetric
68,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0036293945628312475,0.21461521762726582,0.026307564,0.051455304620763254,0.5,1.0,symmetric
69,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.01121651932161894,0.6212968993089476,0.26308513,0.1529144082999915,0.5,1.0,symmetric
70,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.002839275155436354,0.17432251528637072,0.078675225,0.026608505262285007,0.5,1.0,symmetric
71,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.022514133842407115,0.21162216433300776,0.028360017,0.7801591726701451,0.5,1.0,symmetric
72,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041544453865424276,0.45929574152465713,0.060719617,0.03887159440937149,0.5,1.0,symmetric
73,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637412256133994,0.21070045949564023,0.027404718,-0.043073315825548755,0.5,1.0,symmetric
74,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0035758660625354985,0.21461521762726582,0.025712123,0.051455304620763254,0.5,1.0,symmetric
75,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.012043386907786077,0.6182911827490141,0.2581469,0.15395127115855767,0.5,1.0,symmetric
76,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.021829762169984696,0.16648576287130507,0.080121025,0.030410239029266553,0.5,1.0,symmetric
77,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0251046436421695,0.21253482398060713,0.026315505,0.7807361356093163,0.5,1.0,symmetric
78,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.04141948049405879,0.4580927312855024,0.060492326,0.039532519414803825,0.5,1.0,symmetric
79,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0046370960175764414,0.21070045949564023,0.027364643,-0.035159578787919865,0.5,1.0,symmetric
80,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0036169858709549974,0.21461521762726582,0.02149154,0.051455304620763254,0.5,1.0,symmetric
81,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.01094726859502533,0.6393284851116177,0.25381622,0.15283358026614152,0.5,1.0,symmetric
82,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0055584135992031705,0.16049603820688157,0.07993736,0.03207683954344032,0.5,1.0,symmetric
83,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.02090865974261646,0.21341401642606464,0.02593231,0.7780459946204485,0.5,1.0,symmetric
84,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041598053665036855,0.4586960454430333,0.059613515,0.04002931311841594,0.5,1.0,symmetric
85,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637285230864578,0.21070045949564023,0.027364643,-0.0317790505279836,0.5,1.0,symmetric
86,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.003610290431233533,0.21461521762726582,0.023335155,0.051455304620763254,0.5,1.0,symmetric
87,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0100527235196498,0.6342170483736749,0.2568639,0.1538591395538061,0.5,1.0,symmetric
88,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.002493483108356365,0.15808911320959512,0.079366215,0.0220468877966676,0.5,1.0,symmetric
89,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.017164142325054088,0.20920167155106917,0.02862036,0.7789366365504158,0.5,1.0,symmetric
90,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041443390235934664,0.4574930352038786,0.060585357,0.03945571911999872,0.5,1.0,symmetric
91,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637327082021199,0.21070045949564023,0.027364643,-0.03534623221094494,0.5,1.0,symmetric
92,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.003611430990831887,0.21461521762726582,0.022791777,0.051455304620763254,0.5,1.0,symmetric
93,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.007397798171118612,0.6330158471724736,0.2646526,0.15442923179581927,0.5,1.0,symmetric
94,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.035068197341592805,0.16350537284272226,0.07851543,0.034168145625488054,0.5,1.0,symmetric
95,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.024390880557130647,0.21371522124534176,0.027866997,0.7744204593669105,0.5,1.0,symmetric
96,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.04140901778725514,0.45899634574333376,0.06005642,0.0397105412053884,0.5,1.0,symmetric
97,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0046372656055711494,0.21070045949564023,0.027464831,-0.036939993665136964,0.5,1.0,symmetric
98,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0036238006784901334,0.21461521762726582,0.02413631,0.051455304620763254,0.5,1.0,symmetric
99,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.006975444091808853,0.6417354101089041,0.2570812,0.1487816984750382,0.5,1.0,symmetric
100,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0016358843687655738,0.16529270234089513,0.07635445,-0.03553849035152449,0.5,1.0,symmetric
101,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.022693844500050808,0.20830167516914502,0.0233096,0.7787519494092947,0.5,1.0,symmetric
102,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.04138164106699763,0.45809273128550226,0.06050495,0.039857296389542024,0.5,1.0,symmetric
103,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637300384348495,0.21070045949564023,0.027364643,-0.03632557144605995,0.5,1.0,symmetric
104,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.003624079121033087,0.21461521762726582,0.023606485,0.051455304620763254,0.5,1.0,symmetric
105,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.005244990003025772,0.631807409819458,0.2535321,0.15699407745439464,0.5,1.0,symmetric
106,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0056474584243116546,0.17732913636528097,0.07565279,0.030714215560360143,0.5,1.0,symmetric
107,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.01728134314283575,0.21040287275227035,0.026538007,0.7776695894973285,0.5,1.0,symmetric
108,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041289118030960095,0.4592930279677268,0.060403567,0.03972613038352668,0.5,1.0,symmetric
109,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004642444980708038,0.21070045949564023,0.027464831,-0.044065919503478525,0.5,1.0,symmetric
110,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0036059434019875287,0.21461521762726582,0.023886055,0.051455304620763254,0.5,1.0,symmetric
111,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.011364198888039282,0.621002026122508,0.25611275,0.1542462322036941,0.5,1.0,symmetric
112,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.01449703106511377,0.15928488729693552,0.08349057,0.01546515985992809,0.5,1.0,symmetric
113,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0207924834464116,0.21371793480227214,0.027159998,0.7788209907745752,0.5,1.0,symmetric
114,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041381056040284525,0.45689062556532434,0.06078066,0.03930695655832591,0.5,1.0,symmetric
115,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637273096190722,0.21070045949564023,0.027464831,-0.039892255608050875,0.5,1.0,symmetric
116,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.003658407194538398,0.21461521762726582,0.023422292,0.051455304620763254,0.5,1.0,symmetric
117,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.004793036170535472,0.6342224754875356,0.26482725,0.1537468157834188,0.5,1.0,symmetric
118,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.015237686067537462,0.16228698578096165,0.08099294,0.04080395976884568,0.5,1.0,symmetric
119,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.022074562885627348,0.2134103983501574,0.024472918,0.7773565895023639,0.5,1.0,symmetric
120,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041492256789801646,0.4568915300843012,0.060626686,0.03955893170308113,0.5,1.0,symmetric
121,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637104925153908,0.21070045949564023,0.027364643,-0.034821259518794154,0.5,1.0,symmetric
122,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.003631159285030762,0.21461521762726582,0.025158271,0.051455304620763254,0.5,1.0,symmetric
123,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.01200511803164668,0.6237047288252107,0.26061296,0.15424376739984522,0.5,1.0,symmetric
124,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.04380035733884873,0.17553366619631677,0.080849215,0.020445039552333816,0.5,1.0,symmetric
125,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.019368358997619798,0.20980498570860018,0.027604641,0.7776177760513452,0.5,1.0,symmetric
126,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.041613891890827426,0.45659122978400085,0.060790878,0.0396666878453581,0.5,1.0,symmetric
127,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004637277612049777,0.21070045949564023,0.027364643,-0.038635700076438656,0.5,1.0,symmetric
128,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0036367928386294656,0.21461521762726582,0.02395052,0.051455304620763254,0.5,1.0,symmetric
129,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.006888574215931628,0.6197908752125619,0.24344441,0.1632601930747597,0.5,1.0,symmetric
130,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.005716868725082438,0.16621078910235534,0.07816194,0.0277149826765265,0.5,1.0,symmetric
131,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.025974837438594398,0.20950197185136946,0.02974104,0.7784507440902954,0.5,1.0,symmetric
